id,name,birthdate,deathdate
169,Alden Ehrenreich,1989-11-22,
170,Aldis Hodge,1986-09-20,
171,Aldo Sambrell,1931-02-23,2010-07-10
172,Alec Asten,,
173,Alejandro Agresti,1961-06-02,
174,Alejandro Amenábar,1972-03-31,
175,Alejandro Furth,,
176,Alejandro G. Iñárritu,1963-08-15,
177,Alejandro Monteverde,1977-07-13,
178,Aleksa Palladino,1980-09-21,
179,Aleksandr Bashirov,1955-09-24,
180,Aleksandr Veledinskiy,1959-07-27,
181,Aleksey Chadov,1981-09-02,
182,Aleksey German,1976-09-04,
183,Aleksey Serebryakov,1964-06-03,
184,Alessandra Mastronardi,1986-02-18,
185,Alessandro Carloni,,
186,Alessandro Nivola,1972-06-28,
187,Alessandro Preziosi,1973-04-19,
188,Álex Angulo,1953-04-12,2014-07-20
189,Alex Borstein,1973-02-15,
190,Alex Cox,1954-12-15,
191,Alex Craig Mann,,
192,Álex de la Iglesia,1965-12-04,
193,Alex Désert,1968-07-18,
194,Alex Emanuel,,
195,Alex Garland,1970-05-26,
196,Alex Gibney,1953-10-23,
197,Alex Huszar,,
198,Alex Jennings,1957-05-10,
199,Alex Karpovsky,,
200,Alex Kendrick,,
201,Alex Lawther,,
202,Alex Macqueen,,
203,Alex McArthur,1957-03-06,
204,Alex Meraz,1985-01-10,
205,Alex Pettyfer,1990-04-10,
206,Alex Proyas,1963-09-23,
207,Alex Ranarivelo,,
208,Alex Rivera,,
209,Alex Rocco,1936-02-29,2015-07-18
210,Alex Russell,1987-12-11,
211,Alex Sanborn,,
212,Alex Smith,,
213,Alex van Warmerdam,1952-08-14,
214,Alex Veadov,1962-04-15,
215,Alex Vincent,1981-04-29,
216,Alex Winter,,
217,Alex Zamm,,
218,Alexa Davalos,1982-05-28,
219,Alexa Havins,1980-11-16,
220,Alexa PenaVega,1988-08-27,
221,Alexander Gould,1994-05-04,
222,Alexander Payne,1961-02-10,
223,Alexander Skarsgård,1976-08-25,
224,Alexander Vlahos,,
225,Alexander Witt,,
226,Alexander Wraith,1979-06-29,
227,Alexandra Breckenridge,1982-05-15,
228,Alexandra Callas,,
229,Alexandra Holden,1977-04-30,
230,Alexandra Maria Lara,1978-11-12,
231,Alexandra Rapaport,1971-12-26,
232,Alexandra Silber,1983-07-03,
233,Alexandre Aja,1978-08-07,
234,Alexandre Rodrigues,1983-05-21,
235,Alexandru Potocean,1984-04-21,
236,Alexia Fast,1992-09-12,
237,Alexia Rasmussen,,
238,Alexis Arquette,1969-07-28,2016-09-11
239,Alexis Biesiada,,
240,Alexis Dziena,1984-07-08,
241,Alexis Kendra,,
242,Alfie Allen,1986-09-12,
243,Alfonso Cuarón,1961-11-28,
244,Alfre Woodard,1952-11-08,
245,Alfred Enoch,1988-12-02,
246,Alfred Hitchcock,1899-08-13,1980-04-29
247,Ali Daniels,1963-06-13,
248,Ali Hillis,1978-12-29,
249,Alia Shawkat,1989-04-18,
250,Alice Braga,1983-04-15,
251,Alice Cooper,1948-02-04,
252,Alice Englert,1994-06-15,
253,Alice Evans,,
254,Alice Greczyn,1986-02-06,
255,Alice Krige,1954-06-28,
256,Alice Olivia Clarke,,
257,Alice Playten,1947-08-28,2011-06-25
258,Alice Pol,,
259,Alice Wu,1970-04-21,
260,Alicia Goranson,1974-06-22,
261,Alicia Keys,1981-01-25,
262,Alicia Sixtos,1988-05-27,
263,Alicia Witt,1975-08-21,
264,Alicia Ziegler,1981-05-02,
265,Alicja Bachleda,1983-05-12,
266,Aliou Touré,,
267,Alisha Boe,1997-03-06,
268,Alison Brie,1982-12-29,
269,Alison Chand,,
270,Alison Doody,1966-11-11,
271,Alison Lohman,1979-09-18,
272,Alison Maclean,,
273,Alissa Dean,,
274,Alister Grierson,,
275,Alix Freihage,,
276,Allan Arkush,1948-04-30,
277,Allan Dwan,1885-04-03,1981-12-28
278,Allegra Carpenter,,
279,Allen Coulter,,
280,Allen Covert,1964-10-13,
281,Allen Hughes,1972-04-01,
282,Allen Leech,1981-05-18,
283,Allen Payne,1968-07-07,
284,Allison Anders,1954-11-16,
285,Allison Burnett,,
286,Allison Dean,,
287,Allison Miller,1985-09-02,
288,Allison Tolman,1981-11-18,
289,Ally Sheedy,1962-06-13,
290,Ally Walker,1961-08-25,
291,Alma Martinez,1953-03-18,
292,Alona Tal,1983-10-20,
293,Alonna Shaw,,
294,Alun Armstrong,1946-07-17,
295,Alycia Debnam-Carey,,
296,Alyson Hannigan,1974-03-24,
297,Alyson Stoner,1993-08-11,
298,Amal Al-Agroobi,,
299,Amanda Detmer,1971-09-27,
300,Amanda Gusack,,
301,Amanda Kearsan,,
302,Amanda MacDonald,,
303,Amanda Mealing,1967-04-22,
304,Amanda Plummer,1957-03-23,
305,Amanda Redman,1957-08-12,
306,Amanda Schull,1978-08-26,
307,Amanda Tilson,,
308,Amanda Troop,,
309,Amanda Wyss,1960-11-24,
310,Amat Escalante,1979-02-28,
311,Amber Armstrong,,
312,Amber Benson,1977-01-08,
313,Amber Marie Bollinger,,
314,Amber Marshall,1988-06-02,
315,Amber Rose Revah,1986-06-24,
316,Amber Stevens West,1986-10-07,
317,Amber Valletta,1974-02-09,
318,Amelia Giancarlo,,
319,Amelia Warner,1982-06-04,
320,America Ferrera,1984-04-18,
321,America Olivo,1978-01-05,
322,Ami Ayalon,,
323,Amiah Miller,,
324,Amidou,1935-08-02,2013-09-19
325,Amir Farrokh Hashemian,,
326,Amir Talai,1977-06-24,
327,Aml Ameen,1985-07-30,
328,Amos Oz,1939-05-04,
329,Amr Waked,1973-04-12,
330,Amrish Puri,1932-06-22,2005-01-12
331,Amy Badberg,,
332,Amy Brenneman,1964-06-22,
333,Amy Bruni,,
334,Amy Carson,,
335,Amy Hargreaves,1970-01-27,
336,Amy Heckerling,1952-05-07,
337,Amy Hill,1953-05-09,
338,Amy Holden Jones,,
339,Amy Irving,1953-09-10,
340,Amy Locane,1971-12-19,
341,Amy Lucas,,
342,Amy Madigan,1950-09-11,
343,Amy Poehler,1971-09-16,
344,Amy Ryan,1968-05-03,
345,Amy Schumer,1981-06-01,
346,Amy Sedaris,1961-03-29,
347,Amy Steel,1960-05-03,
348,Amy Stewart,,
349,Amy Warren,,
350,Amy Yasbeck,1962-09-12,
351,Ana Claudia Talancón,1980-05-01,
352,Ana de la Reguera,1977-04-08,
353,Ana Gasteyer,1967-05-04,
354,Ana Imnadze,,
355,Ana Maria Guran,1995-10-06,
356,Ana Vatamanu,,
357,Analeine Cal y Mayor,,
358,Anamaria Marinca,1978-04-01,
359,Anand Tucker,1963-06-24,
360,Anatoliy Solonitsyn,1934-08-30,1982-06-11
361,Anders Holm,,
362,Andre Braugher,1962-07-01,
363,André Dussollier,1946-02-17,
364,André Øvredal,,
365,André Ramiro,1981-01-14,
366,André Téchiné,,
367,André the Giant,1946-05-19,1993-01-27
368,André Wilms,,
369,Andrea Arnold,1961-04-05,
370,Andrea Corr,1974-05-17,
371,Andrea Di Stefano,1972-12-15,
372,Andrea Frankle,,
373,Andrea Martin,1947-01-15,
374,Andrea Ros,1993-05-03,
375,Andrea Savage,1973-02-20,
376,Andrea Vergara,1984-11-10,
377,Andrei Tarkovsky,1932-04-04,1986-12-29
378,Andrej Nahtigal,1942-09-04,
379,Andrés Couturier,1977-02-05,
380,Andrés Montiel,1975-01-30,
381,Andrés Muschietti,,
382,Andrew Adamson,1966-12-01,
383,Andrew Airlie,1961-09-18,
384,Andrew Berends,,
385,Andrew Bergman,1945-02-20,
386,Andrew Bryniarski,1969-02-13,
387,Andrew Bujalski,,
388,Andrew Currie,,
389,Andrew Daly,1971-04-15,
390,Andrew Davis,1946-11-21,
391,Andrew Dice Clay,1957-09-29,
392,Andrew Dominik,1967-10-07,
393,Andrew Douglas,,
394,Andrew Erwin,,
395,Andrew Fiscella,1966-05-25,
396,Andrew Fleming,1965-12-30,
397,Andrew Garfield,1983-08-20,
398,Andrew Haigh,,
399,Andrew Hyatt,1982-08-19,
400,Andrew Jarecki,,
401,Andrew Keegan,1979-01-29,
402,Andrew Keir,1926-04-03,1997-10-05
403,Andrew Lawrence,1966-08-11,
404,Andrew Leman,,
405,Andrew Morahan,,
406,Andrew Niccol,1964-06-10,
407,Andrew Rannells,1978-08-23,
408,Andrew Robinson,1942-02-14,
409,Andrew Simpson,,
410,Andrew Stanton,1965-12-03,
411,Andrew Steggall,,
412,Andrew Traucki,,
413,Andrew Wilson,,
414,Andrey Konchalovskiy,1937-08-20,
415,Andrey Zvyagintsev,1964-02-06,
416,Andrucha Waddington,,
417,Andrzej Bartkowiak,1950-03-06,
418,Andy Cadiff,,
419,Andy Cohn,,
420,Andy Davoli,1973-09-02,
421,Andy Dick,1965-12-21,
422,Andy Fickman,,
423,Andy Garcia,1956-04-12,
424,Andy Lau,1961-09-27,
425,Andy On,1977-05-11,
426,Andy Richter,1966-10-28,
427,Andy Tennant,1955-06-15,
428,Ane Dahl Torp,1975-08-01,
429,Anella Vastola,,
430,Ang Lee,1954-10-23,
431,Angel Coulby,1980-08-30,
432,Angel David,,
433,Angela Bettis,1973-01-09,
434,Angela Cartwright,1952-09-09,
435,Angela Featherstone,1965-04-03,
436,Angela Jones,,
437,Ángela Molina,1955-10-05,
438,Angela Nordeng,,
439,Angela Robinson,1971-02-14,
440,Angela Sarafyan,1983-06-30,
441,Angelica Lee,1976-01-23,
442,Angélica Sancio,,
443,Angeliki Papoulia,,
444,Angelina Armani,1987-11-18,
445,Angelina Jolie Pitt,1975-06-04,
446,Angell Conwell,1983-08-02,
447,Angelo Anthony Pizza,,
448,Angelo Pizzo,,
449,Angelo Rossitto,1908-02-18,1991-09-21
450,Angelo Tsarouchas,,
451,Angie Dickinson,1931-09-30,
452,Angus Barnett,,
453,Angus Macfadyen,1963-09-21,
454,Angus Sampson,1979-02-12,
455,Angus Scrimm,1926-08-19,2016-01-09
456,Angus T. Jones,1993-10-08,
457,Anika Noni Rose,1972-09-06,
458,Anil Kapoor,1956-12-24,
459,Anil Kumar,,
460,Anita Briem,1982-05-29,
461,Anita Mui,1963-10-10,2003-12-30
462,Anita Page,1910-08-04,2008-09-06
463,Anjelica Huston,1951-07-08,
464,Ann Dowd,1956-01-30,
465,Ann Gillis,1927-02-12,
466,Ann Miller,1923-04-12,2004-01-22
467,Ann Morgan Guilbert,1928-10-16,2016-06-14
468,Ann Talman,1957-09-13,
469,Ann-Margret,1941-04-28,
470,Anna Boden,,
471,Anna Friel,1976-07-12,
472,Anna Gunn,1968-08-11,
473,Anna Harr,,
474,Anna Karina,1940-09-22,
475,Anna Katarina,,
476,Anna Katharina Schwabroh,,
477,Anna Kendrick,1985-08-09,
478,Anna Madeley,,
479,Anna Mastro,,
480,Anna Muylaert,1964-04-21,
481,Anna Nakagawa,1965-08-30,2014-10-17
482,Anna Silk,1974-01-31,
483,Anna Vareschi,,
484,Anna-Louise Plowman,1972-05-09,
485,Annabel Jankel,1955-08-01,
486,Annabella Sciorra,1960-03-29,
487,Annabelle Wallis,,
488,Annabeth Gish,1971-03-13,
489,Anne Archer,1947-08-24,
490,Anne Bancroft,1931-09-17,2005-06-06
491,Anne Fletcher,1966-05-01,
492,Anne Fontaine,1959-07-15,
493,Anne Hathaway,1982-11-12,
494,Anne Heche,1969-05-25,
495,Anne Meara,1929-09-20,2015-05-23
496,Anne Parillaud,1960-05-06,
497,Anne-Marie Duff,1970-10-08,
498,Anneliese van der Pol,1984-09-23,
499,Annelyse Ahmad,,
500,Annet Mahendru,,
501,Annette Badland,1950-08-26,
502,Annie Golden,1951-10-19,
503,Annie Parisse,1975-07-31,
504,Anslem Richardson,,
505,Anthony 'Citric' Campos,,
506,Anthony Bell,,
507,Anthony Burrell,,
508,Anthony C. Ferrante,,
509,Anthony Chau-Sang Wong,1961-09-02,
510,Anthony Daniels,,
511,Anthony Edwards,1962-07-19,
512,Anthony Heald,1954-02-20,
513,Anthony Hemingway,,
514,Anthony Hickox,,
515,Anthony Hopkins,1937-12-31,
516,Anthony Johnson,,
517,Anthony L. Fernandez,,
518,Anthony LaPaglia,1959-01-31,
519,Anthony Mann,1906-06-30,1967-04-29
520,Anthony Minghella,1954-01-06,2008-03-18
521,Anthony O'Brien,,
522,Anthony Powell,1935-06-02,
523,Anthony Reynolds,1968-05-08,
524,Anthony Russo,1977-01-31,
525,Anthony Silverston,,
526,Anthony Simcoe,1969-06-07,
527,Anthony Vallone,,
528,Anthony Zerbe,1936-05-20,
529,Antoine Fuqua,1966-01-19,
530,Anton Corbijn,1955-05-20,
531,Antoni Corone,,
532,Antonia Bird,1951-05-27,2013-10-24
533,Antonia Thomas,1986-11-03,
534,Antonio Arrué,,
535,Antonio Banderas,1960-08-10,
536,Antonio de la Torre,1968-01-18,
537,Antonio Sabato Jr.,1972-02-29,
538,Antonio Simoncini,,
539,Antony Hoffman,,
540,Antony Starr,1975-10-25,
541,Anupam Kher,1955-03-07,
542,Anurag Basu,,
543,Anushka Shetty,1981-11-07,
544,Anwar Congo,,
545,April Winchell,1960-01-04,
546,Ara Celi,1967-06-19,
547,Aramis Knight,1999-10-03,
548,Arben Bajraktaraj,,
549,Arcelia Ramírez,1967-12-07,
550,Archie Kao,1969-12-14,
551,Archie Panjabi,1972-05-31,
552,Aretha Franklin,1942-03-25,
553,Ari Folman,1962-12-17,
554,Ari Gold,,
555,Ari Graynor,1983-04-27,
556,Ari Kirschenbaum,,
557,Ari Sandel,,
558,Aria Noelle Curzon,1987-12-08,
559,Ariana Neal,,
560,Ariana Richards,1979-09-11,
561,Ariane Labed,,
562,Ariane Schluter,1966-02-01,
563,Arie Posin,,
564,Ariel Gade,1997-05-01,
565,Ariel Hsing,,
566,Ariel Vromen,1973-02-14,
567,Aries Spears,1975-04-03,
568,Arik Ascherman,,
569,Arjun Rampal,1972-11-26,
570,Arjun Sablok,,
571,Arliss Howard,1954-10-18,
572,Arly Jover,1971-02-02,
573,Armando Riesco,1977-12-05,
574,Armin Mueller-Stahl,1930-12-17,
575,Armin Rohde,1955-04-04,
576,Armin Shimerman,1949-11-05,
577,Art Carney,1918-11-04,2003-11-09
578,Art Hindle,1948-07-21,
579,Art Malik,1952-11-13,
580,Arthur Agee,1972-11-22,
581,Arthur Hiller,1923-11-22,2016-08-17
582,Arthur O'Connell,1908-03-29,1981-05-18
583,Arturo Castro,1955-12-19,
584,Artyom Bogucharskiy,1989-08-14,
585,Aryana Engineer,2001-03-06,
586,Asger Leth,,
587,Asghar Farhadi,,
588,Ash Baron-Cohen,,
589,Ash Brannon,,
590,Ash Cook,,
591,Ashanti,1980-10-13,
592,Ashish R. Mohan,,
593,Ashleigh Gryzko,,
594,Ashley Ashida Dixon,,
595,Ashley Bell,1986-05-26,
596,Ashley Gerasimovich,,
597,Ashley Hinshaw,1988-12-11,
598,Ashley Laurence,1966-05-28,
599,Ashley Martin,,
600,Ashley Palmer,1978-11-13,
601,Ashley Rickards,1992-05-04,
602,Ashley Scott,1977-07-13,
603,Ashley Tramonte,,
604,Ashley Walters,1982-06-30,
605,Ashley Williams,1978-11-12,
606,Ashraf Barhom,,
607,Asin,1985-10-26,
608,Athina Rachel Tsangari,1966-04-02,
609,Ato Essandoh,1972-07-29,
610,Atom Egoyan,1960-07-19,
611,Atsuko Maeda,1991-07-10,
612,Atticus Shaffer,1998-06-19,
613,Aubrey Poo,,
614,Audrey Fleurot,1977-07-06,
615,Audrey Wells,1960-04-29,
616,August Diehl,1976-01-04,
617,Augustus Prew,1987-09-17,
618,Aunjanue Ellis,1969-02-21,
619,Austin Lyon,,
620,Austin Nichols,1980-04-24,
621,Austin O'Brien,1981-05-11,
622,Austin Pendleton,1940-03-27,
623,Ava Acres,,
624,Ava DuVernay,1972-08-24,
625,Ava Gardner,1922-12-24,1990-01-25
626,Avery Schreiber,1935-04-09,2002-01-07
627,Avi Nesher,,
628,Ayan Mukerji,,
629,Ayelet Zurer,1969-06-28,
630,Ayesha Omar,1981-10-12,
631,Ayla Kell,1990-10-07,
632,Ayush Mahesh Khedekar,,
633,Aziz Muradillayev,,
634,Azura Skye,1981-11-08,
635,B.J. Novak,1979-07-31,
636,Babak Najafi,1975-09-14,
637,Babar Ahmed,,
638,Bahare Seddiqi,,
639,Bai Ling,,
640,Bailee Madison,1999-10-15,
641,Balinese Tari Legong Dancers,,
642,Bálint Péntek,,
643,Baltasar Kormákur,1966-02-27,
644,Balthazar Getty,1975-01-22,
645,Bam Margera,1979-09-28,
646,Barack Obama,1961-08-04,
647,Barbara Bach,1947-08-27,
648,Barbara Billingsley,1915-12-22,2010-10-16
649,Barbara Carrera,1945-12-31,
650,Bárbara Goenaga,1983-07-20,
651,Barbara Hershey,1948-02-05,
652,Barbara Kowalcyk,,
653,Bárbara Mori,1978-02-02,
654,Barbet Schroeder,1941-08-26,
655,Barbie Castro,,
656,Barbra Streisand,1942-04-24,
657,Bari Hyman,,
658,Barnard Hughes,1915-07-16,2006-07-11
659,Barney Clark,1973-12-13,
660,Barney Frank,1940-03-31,
661,Barret Oliver,1973-08-24,
662,Barrett Esposito,,
663,Barry Bostwick,1945-02-24,
664,Barry Cook,,
665,Barry Corbin,1940-10-16,
666,Barry Dennen,1938-02-22,
667,Barry Fitzgerald,1888-03-10,1961-01-14
668,Barry Levinson,1942-04-06,
669,Barry Lynch,1959-08-28,
670,Barry Shabaka Henley,1954-09-15,
671,Barry Skolnick,1966-10-08,
672,Barry Sonnenfeld,1953-04-01,
673,Barry W. Blaustein,,
674,Barry Watson,1974-04-23,
675,Bart Freundlich,1970-01-17,
676,Bart Shatto,1965-02-23,
677,Bart the Bear,,
678,Bashar Rahal,1974-10-20,
679,Basher Savage,,
680,Basil Rathbone,1892-06-13,1967-07-21
681,Baz Luhrmann,1962-09-17,
682,Béatrice Bonifassi,,
683,Béatrice Dalle,1964-12-19,
684,Beatrice Ntuba,,
685,Beatrice Straight,1914-08-02,2001-04-07
686,Beau Bridges,1941-12-09,
687,Beau Garrett,1982-12-28,
688,Beau Knapp,,
689,Beau Mirchoff,1989-01-13,
690,Bebe Neuwirth,1958-12-31,
691,Becky Smith,,
692,Beeban Kidron,1961-05-02,
693,Behrouz Vossoughi,,
694,Belén Rueda,1965-03-16,
695,Belinda Stewart-Wilson,1971-04-16,
696,Bella Heathcote,1987-05-27,
697,Bella Thorne,1997-10-08,
698,Ben Affleck,1972-08-15,
699,Ben Browder,1962-12-11,
700,Ben Chaplin,1970-07-31,
701,Ben Crompton,,
702,Ben Cross,1947-12-16,
703,Ben Daniels,1964-06-10,
704,Ben Davies,,
705,Ben Diskin,1982-08-25,
706,Ben Falcone,,
707,Ben Feldman,1980-05-27,
708,Ben Gazzara,1930-08-28,2012-02-03
709,Ben Johnson,1918-06-13,1996-04-08
710,Ben Lewin,,
711,Ben Mendelsohn,1969-04-03,
712,Ben Miles,,
713,Ben Miller,,
714,Ben Platt,1993-09-24,
715,Ben Schwartz,,
716,Ben Stassen,,
717,Ben Stein,1944-11-25,
718,Ben Stiller,1965-11-30,
719,Ben Vereen,1946-10-10,
720,Ben Wheatley,,
721,Ben Youcef,1979-02-19,
722,Ben Younger,1972-10-07,
723,Benedek Fliegauf,1974-08-15,
724,Benedict Cumberbatch,1976-07-19,
725,Benedict Wong,,
726,Benedikt Erlingsson,1969-05-31,
727,Benh Zeitlin,,
728,Benjamin A. Onyango,,
729,Benjamin Dickinson,,
730,Benjamin Fletcher,,
731,Benjamin J. Cain Jr.,,
732,Benjamin Roberds,,
733,Benjamin Walker,1982-06-21,
734,Bennett Miller,1966-12-30,
735,Benni Diez,,
736,Benno Fürmann,1972-01-17,
737,Benny Boom,,
738,Benoît Magimel,1974-05-11,
739,Benoît Poelvoorde,1964-09-22,
740,Benson Lee,,
741,Bérénice Bejo,1976-07-07,
742,Bergüzar Korel,1982-09-02,
743,Bern Cohen,,
744,Bernadette Peters,1948-02-28,
745,Bernard Cribbins,1928-12-29,
746,Bernard Fox,1927-05-11,2016-12-14
747,Bernard Hill,1944-12-17,
748,Bernardo Bertolucci,1941-03-16,
749,Bernardo Saracino,,
750,Bernie Casey,1939-06-08,
751,Bernie Mac,1957-10-05,2008-08-09
752,Bernie Sanders,1941-09-08,
753,Bertrand Cantat,1964-03-05,
754,Bess Armstrong,1953-12-11,
755,Bessie Love,1898-09-10,1986-04-26
756,Beth Broderick,1959-02-24,
757,Beth Grant,1985-06-21,
758,Beth Riesgraf,1978-08-24,
759,Bethany Blakey,,
760,Bethany Joy Lenz,1981-04-02,
761,Beto Gómez,1969-05-12,
762,Betsy Baker,,
763,Betsy Palmer,1926-11-01,2015-05-29
764,Betsy Russell,1963-09-06,
765,Betty Hutton,1921-02-26,2007-03-11
766,Betty Thomas,1947-07-27,
767,Beverly D'Angelo,1951-11-15,
768,Beverly Randolph,,
769,Bex Taylor-Klaus,,
770,Bhama,,
771,Bhavkhandan Singh Rakhra,,
772,Bhole Baba,,
773,Bhoomika Chawla,1978-08-21,
774,Bianca Brigitte VanDamme,1990-10-17,
775,Bianca Collins,1988-08-17,
776,Bianca Kajlich,1977-03-26,
777,Bibo Bergeron,,
778,Big Budah,,
779,Bigas Luna,1946-03-19,2013-04-06
780,Bill Allen,,
781,Bill Bailey,1980-11-21,
782,Bill Baird,,
783,Bill Benenson,,
784,Bill Clinton,1946-08-19,
785,Bill Cobbs,1934-06-16,
786,Bill Condon,1955-10-22,
787,Bill Duke,1943-02-26,
788,Bill Erwin,1914-12-02,2010-12-29
789,Bill Fagerbakke,1957-10-04,
790,Bill Farmer,1952-11-14,
791,Bill Hickman,1921-01-25,1986-02-24
792,Bill Hunter,1940-02-27,2011-05-21
793,Bill Irwin,1950-04-11,
794,Bill Johnson,,
795,Bill Lake,1979-03-24,
