id,name,date_of_birth,date_of_death
317,Macaulay Culkin,1980-08-26,
318,Maggie Cheung,,
319,Maggie Smith,1934-12-28,
320,Malcolm McDowell,1943-06-13,
321,Mandy Patinkin,1952-11-30,
322,Marc Hayashi,,
323,Marcia Gay Harden,1959-08-14,
324,Marcia Kimpton,,
325,Maria Grazia Cucinotta,1968-07-27,
326,Mariam Hopkins,1902-10-18,1972-10-09
327,Marin Landau,1928-06-20,
328,Mark Harmon,1951-09-02,
329,Mark Hefti,,
330,Mark Ruffalo,,
331,Marlee Matlin,,
332,Marlon Brando,,
333,Martin Gabel,1912-06-19,1986-05-22
334,Martin Landau,1928-06-20,
335,Martin Mull,,
336,Martin Short,,
337,Mary Astor,,
338,Mary Elizabeth Mastrantonio,1958-11-17,
339,Mary Steenburgen,1953-02-08,
340,Matt Damon,,
341,Matt Dillon,1964-02-18,
342,Matthew McConaughey,,
343,Matthew Modine,1959-03-22,
344,May McAvoy,1899-09-08,1984-04-26
345,Maylia,,
346,Meg Ryan,,
347,Melanie Griffith,1957-08-09,
348,Michael Carr,,
349,Michael Douglas,1944-09-25,
350,Michael Fassbender,,
351,Michael J. Fox,1961-06-09,
352,Michael Keaton,1951-09-05,
353,Michele Lee,1942-06-24,
354,Mike Myers,1963-05-25,
355,Minnie Driver,1970-01-31,
356,Mira Sorvino,1967-09-28,
357,Mitchell Ryan,1928-01-11,
358,Morgan Freeman,1937-06-01,
359,Myrna Loy,,
360,Nancy Carlin,1909-11-30,2004-10-18
361,Nancy Kwan,1939-05-19,
362,Nancy Travis,1961-09-21,
363,Naomi Watts,,
364,Natasha Richardson,1963-05-11,2009-03-18
365,Ned Glass,1906-04-01,1984-06-15
366,Nick Nolte,1941-02-08,
367,Nick Tagas,,
368,Nicolas Cage,,
369,Nicole Kidman,,
370,Nithya Menon,,
371,Noah Wyle,1971-06-04,
372,Orson Welles,,
373,Oskar Homolka,1898-08-12,1978-01-27
374,Ossie Davis,1917-12-18,2005-02-04
375,Owen Wilson,1968-11-18,
376,Pamela Britton,1923-03-19,1974-06-17
377,Pat Hingle,1924-07-19,2009-01-03
378,Patricia Arquette,1968-04-08,
379,Patricia Clarkson,1959-12-29,
380,Patrick McGoohan,1928-03-19,2009-01-13
381,Paul Le Mat,1945-09-22,
382,Paul Newman,,
383,Paul Rhys,1963-12-19,
384,Paul Rodriguez,,
385,Paul Rudd,1969-04-16,
386,Penelope Cruz,,
387,Peter Boyle,1946-05-27,
388,Peter Coyote,1941-10-10,
389,Peter Marshall,,
390,Peter Quintana,,
391,Peter Sarsgaard,1971-03-07,
392,Philip Ng,,
393,Philip Seymour Hoffman,1967-07-23,2014-02-02
394,Pierce Brosnan,1953-05-16,
395,Pierson Fode,1991-11-06,
396,Priya Anand,1986-09-17,
397,Puneet Prasad,,
398,Radha Mitchell,1973-11-12,
399,Raven-Symone,1985-12-10,
400,Ray Simpson,,
401,Reese Witherspoon,1976-03-22,
402,Rene Russo,1954-02-17,
403,Renee Zellweger,1969-04-25,
404,Rex Harrison,1908-03-05,1990-06-02
405,Richard Basehart,1914-08-31,1984-09-17
406,Richard Chamberlain,1934-03-31,
407,Richard Dreyfuss,1947-10-29,
408,Richard Gere,1949-08-31,
409,Richard Jaeckel,1926-10-10,1997-06-14
410,Rick Springfield,1949-08-23,
411,Rita Hayworth,1918-10-17,1987-05-14
412,Rob Lowe,1964-03-17,
413,Robert Blossom,1924-03-25,2011-07-08
414,Robert De Niro,,
415,"Robert Downey, Jr.",,
416,Robert Keith,,
417,Robert McNamara,,
418,Robert Redford,,
419,Robert Vaughn,1932-11-22,2016-11-11
420,Robin Tunney,1972-06-19,
421,Robin Williams,,
422,Robin Wright,1966-04-08,
423,Rod Taylor,1930-01-11,2015-01-07
424,Roger Moore,1927-10-14,
425,Romy Schneider,1938-09-23,1982-05-29
426,Ron Howard,1954-03-01,
427,Rosario Dawson,1979-05-09,
428,Rose Byrne,1979-07-24,
429,Rosie Perez,1964-09-06,
430,Ruth Gordon,1896-10-30,1985-08-28
431,Ryan O'Neal,1941-04-20,
432,Sabrina Lloyd,1970-11-20,
433,Saffron Burrows,1972-10-22,
434,Sally Field,1946-11-06,
435,Sam Neill,1947-09-14,
436,Sam Shepard,1943-11-05,
437,Samuel L. Jackson,,
438,Sandra Bullock,,
439,Sandra Oh,1971-07-20,
440,Sara Lewinstein,,
441,Sarah Jones,,
442,Scott Glenn,1941-01-26,
443,Sean Connery,,
444,Sean Penn,,
445,Seth Rogen,,
446,Sharon Mitchell,1958-01-18,
447,Sharon Stone,,
448,Shaynnyn Sossamon,1978-10-03,
449,Siddarth,1979-04-17,
450,Sidney Poitier,1927-02-20,
451,Signe Hasso,1915-08-15,2002-06-07
452,Sigourney Weaver,1949-10-08,
453,Silas Howard,,
454,Sissy Spacek,1949-12-25,
455,Solveig Dommartin,,2007-01-11
456,Sondra Locke,1944-05-28,
457,Spencer Tracy,,
458,Stana Katic,1978-04-26,
459,Stefanie Powers,1942-11-02,
460,Sterling Beaumon,1995-06-02,
461,Steve McQueen,1930-03-24,1980-11-07
462,Steven Bauer,1956-12-02,
463,Susan Strasberg,,1999-01-21
464,Suzanne Pleshette,1937-01-31,2008-01-19
465,Sydney Poitier,1973-11-15,
466,Tanya Roberts,1955-10-15,
467,Tara Reid,,
468,Taye Diggs,1971-01-02,
469,Ted Danson,1947-12-29,
470,Thelma Ritter,1902-02-14,1969-02-05
471,Tigr,,
472,Tim Daly,1918-04-25,2011-09-18
473,Timothy Hutton,1960-08-16,
474,Tippi Hedren,1930-01-19,
475,Tom Berenger,1949-05-31,
476,Tom Cruise,,
477,Tom Hanks,1956-07-09,
478,Tommy Noonan,1921-04-29,1968-04-24
479,Tony Roberts,,
480,Troy Donahue,1936-01-27,2001-09-02
481,Tsai Chin,,
482,Tuesday Weld,1943-08-27,
483,Tyne Daly,1946-02-21,
484,Tyrone Power,,
485,Val Kilmer,1959-12-31,
486,Valentina Cortese,1923-01-01,
487,Van Johnson,1916-08-25,2008-12-12
488,Victor Wong,,
489,Viggo Mortenson,1958-10-20,
490,Vince Vaughn,1970-03-28,
491,Ving Rhames,1959-05-12,
492,Walter Matthau,1920-10-01,2000-07-01
493,Warner Oland,1879-10-03,1938-08-06
494,Warren Keith,,
495,Wesley Snipes,1962-07-31,
496,Whoopi Goldberg,,
497,Will Smith,,
498,William Forsythe,,
499,William Holden,1918-04-17,1981-11-12
500,William Hurt,1950-03-20,
501,William Lundigan,1914-06-12,1975-12-20
502,William Powell,1892-07-29,1984-03-05
503,William Rose,,
504,William Shatner,,
505,Wood Moy,,
506,Woody Allen,,
507,Yu Xia,,
508,Yul Brynner,1920-07-11,1985-10-10
509,Zachary Quinto,1977-06-02,
510,Zachary Shedd,,
511,Zasu Pitts,1894-01-03,1963-06-07
