id,title,release_year,distributor,lead_actor,director_id
90,Fandom,2004,Cinequest Distribution,Mark Hefti,158
91,Fat Man and Little Boy,1989,Paramount Pictures,Paul Newman,197
92,Fathers' Day,1997,Columbia Broadcasting System,Robin Williams,90
93,Fearless,1993,Warner Bros. Pictures,Jeff Bridges,177
94,Final Analysis,1992,Warner Bros. Pictures,Richard Gere,181
95,Flower Drum Song,1961,Universal Pictures,Nancy Kwan,82
96,Flubber,1997,Buena Vista Pictures,Robin Williams,129
97,Forrest Gump,1994,Paramount Pictures,Tom Hanks,195
98,Foul Play,1978,Paramount Pictures,Goldie Hawn,38
99,Freebie and the Bean,1974,American Broadcasting Company (ABC),Alan Arkin,189
100,Gentleman Jim,1942,Warner Bros. Pictures,Errol Flynn,185
101,George of the Jungle,1997,Buena Vista Pictures,Brendan Fraser,203
102,Getting Even with Dad,1994,Metro-Goldwyn-Mayer (MGM),Macaulay Culkin,86
103,GirlBoss,2017,Netflix,Britt Robertson,96
104,God is a Communist?* (show me heart universe),2010,,John Wynn,116
105,Godzilla,2014,Warner Bros. Pictures,Aaron Taylor-Johnson,65
106,Golden Gate,1994,The Samuel Goldwyn Company,Matt Dillon,112
107,Good NeighborSam,1964,Columbia Pictures,Jack Lemmon,46
108,Greed,1924,Metro-Goldwyn-Mayer (MGM),Zasu Pitts,59
109,Groove,2000,Sony Pictures Classics,Chris Ferreira,75
110,Guess Who's Coming to Dinner,1967,Columbia Pictures,Spencer Tracy,209
111,Haiku Tunnel,2001,Sony Pictures Classics,Josh Kornbluth,93
112,Happy Gilmore,1996,Universal Pictures,Adam Sandler,49
113,Hard to Hold,1984,Universal Pictures,Rick Springfield,125
114,Harold and Maude,1971,Paramount Pictures,Ruth Gordon,77
116,Heart and Souls,1993,Electric Parc,Jorgen Leth,227
115,Heart Beat,1980,Orion Pictures Corporation,Nick Nolte,104
117,"Hello Frisco, Hello",1943,Twentieth Century Fox Film Corporation,Alice Faye,28
118,Hemingway & Gelhorn,2011,Home Box Office (HBO),Nicole Kidman,182
119,Herbie Rides Again,1974,Buena Vista Distribution,Helen Hayes,193
120,Hereafter,2010,Warner Bros. Pictures,Matt Damon,37
121,High Anxiety,1977,Twentieth Century Fox Film Corporation,Mel Brooks,144
122,High Crimes,2002,Twentieth Century Fox Film Corporation,Mel Brooks,144
123,Homeward Bound II: Lost in San Francisco,1996,Buena Vista Pictures,Michael J. Fox,44
124,House of Sand and Fog,2003,DreamWorks Distribution,Jennifer Connelly,229
125,How Stella Got Her Groove Back,1998,Twentieth Century Fox Film Corporation,Angela Bassett,124
126,Hulk,2003,Universal Pictures,Eric Bana,14
127,I Am Michael,2015,,James Franco,122
128,I Remember Mama,1948,RKO Radio Pictures,Irene Dunne,73
129,I's,2011,,,36
130,Indiana Jones and the Last Crusade,1989,Paramount Pictures,Harrison Ford,213
131,Innerspace,1987,Warner Bros. Pictures,Dennis Quaid,99
132,Interview With The Vampire,1994,Geffen Pictures,Brad Pitt,156
133,Invasion of the Body Snatchers,1978,United Artists,Donald Sutherland,182
134,It Came From Beneath the Sea,1955,Columbia Pictures,Kenneth Tobey,191
135,Jack,1996,Buena Vista Pictures,Robin Williams,63
136,Jade,1995,Paramount Pictures,David Caruso,241
137,Jagged Edge,1985,Columbia Pictures,Glenn Close,188
138,James and the Giant Peach,1996,Walt Disney Studios Home Entertainment,Richard Dreyfuss,83
139,Joy Luck Club,1993,National Broadcasting Company (NBC),Kieu Chinh,239
140,Julie and Jack,2003,Echelon Entertainment,Jenn Gotzon,95
141,Junior,1994,Universal Pictures,Arnold Schwarzenegger,90
142,Just Like Heaven,2005,DreamWorks Distribution,Reese Witherspoon,139
143,Just One Night,2000,First Look International,Timothy Hutton,3
144,Kamikaze Hearts,1986,Facets Multimedia Distribution,Tigr,121
145,Knife Fight,2013,Eagle Films,Rob Lowe,21
146,Live Nude Girls Unite,2000,First Run Features,,230
147,Looking,2014,Home Box Office (HBO),Jonathan Groff,11
148,"Looking ""Special""",2016,HBO,Jonathan Groff,11
149,Looking Season 2 ep 202,2015,HBO,Jonathan Groff,11
150,Looking Season 2 ep 203,2015,HBO,Jonathan Groff,11
151,Looking Season 2 ep 204,2015,HBO,Jonathan Groff,11
152,Looking Season 2 ep 205,2015,HBO,Jonathan Groff,11
153,Looking Season 2 ep 206,2015,HBO,Jonathan Groff,11
154,Looking Season 2 ep 207,2015,HBO,Jonathan Groff,11
155,Looking Season 2 ep 208,2015,HBO,Jonathan Groff,11
156,Looking Season 2 ep 209,2015,HBO,Jonathan Groff,11
157,Looking Season 2 ep 210,2015,HBO,Jonathan Groff,11
158,Love & Taxes,2014,,Jacob Kornbluth,92
159,Magnum Force,1973,Warner Bros. Pictures,Clint Eastwood,215
160,Marnie,1964,Universal Pictures,Tippi Hedren,9
161,Maxie,1985,Orion Pictures Corporation,Glenn Close,166
162,Memoirs of an Invisible Man,1992,Warner Bros. Pictures,Chevy Chase,105
163,Metro,1997,Buena Vista Pictures,Eddie Murphy,220
164,Midnight Lace,1960,Universal Pictures,Doris Day,43
165,Milk,2008,Focus Features,Sean Penn,76
166,Mission (aka City of Bars),2001,,Chris Coburn,131
167,Mona Lisa Smile,2003,Columbia Pictures,Julia Roberts,152
168,Mother,1996,Paramount Pictures,Albert Brooks,6
169,Mrs. Doubtfire,1993,Twentieth Century Fox Film Corporation,Robin Williams,35
170,"Murder in the First, Season 1",2014,Turner Network Television (TNT),Taye Diggs,211
171,"Murder in the First, Season 2",2015,Turner Network Television (TNT),Taye Diggs,211
172,"Murder in the First, Season 3",2016,Turner Network Television (TNT),Taye Diggs,211
173,My Reality,2011,,Marcia Kimpton,134
174,Need For Speed,2014,Walt Disney Studios Motion Pictures,Aaron Paul,206
175,Never Die Twice,2001,,Claudia Christian,207
176,Night of Henna,2005,Illuminare Entertainment,Joyce Carlin,80
177,Nina Takes a Lover,1994,Columbia TriStar Home Video,Laura San Giacomo,3
178,Nine Months,1995,Twentieth Century Fox Film Corp.,Hugh Grant,35
179,Nine to Five,1980,Twentieth Century Fox Film Corporation,Jane Fonda,38
180,Nora Prentiss,1947,Warner Bros. Pictures,Ann Sheridan,233
181,On the Beach,1959,United Artists,Gregory Peck,209
182,On the Road,2012,IFC Films & Sundance Selects,Garrett Hedlund,238
183,Pacific Heights,1990,Twentieth Century Fox Film Corporation,Melanie Griffith,114
184,Pal Joey,1957,Columbia Pictures,Rita Hayworth,72
185,Panther,1995,PolyGram Video,Kadeem Hardison,136
186,Parks and Recreation,2014,"NBC Universal Media, LLC",Amy Poehler,47
187,Patch Adams,1998,Universal Pictures,Robin Williams,226
188,Patty Hearst,1988,Atlantic Releasing Corporation,Natasha Richardson,169
189,Petulia,1968,Warner Brothers / Seven Arts,Julie Christie,187
190,Phenomenon,1996,Buena Vista Pictures,John Travolta,117
191,"Play it Again, Sam",1972,Paramount Pictures,Woody Allen,84
192,Playing Mona Lisa,2000,Buena Vista Pictures,Alicia Witt,143
193,Pleasure of His Company,1961,Paramount Pictures,Fred Astaire,71
194,Point Blank,1967,Metro-Goldwyn Mayer,Lee Marvin,103
195,Pretty Woman,1990,Buena Vista Pictures,Richard Gere,66
196,Psych-Out,1968,American International Pictures (AIP),Jack Nicholson,189
197,Pushing Dead,2016,,Danny Glover,225
198,Quicksilver,1986,Columbia Pictures,Kevin Bacon,221
199,Quitters,2015,,Kara Hayward,160
200,Raising Cain,1992,Universal Pictures,John Lithgow,26
201,Red Diaper Baby,2004,Sundance Channel,Josh Kornbluth,53
202,Red Widow,2013,American Broadcasting Company (ABC),Radha Mitchell,10
203,Rent,2005,Columbia Pictures,Anthony Rapp,35
204,Rollerball,2002,MGM Home Entertainment,Chris Klein,113
205,Romeo Must Die,2000,Warner Bros. Pictures,Jet Li,13
206,San Andreas,2015,Warner Bros.,Dwayne Johnson,24
207,San Francisco,1936,Metro-Goldwyn Mayer,Clark Gable,235
208,Sausalito,2000,,Maggie Cheung,12
209,Sense8,2015,Netflix,Jamie Clayton,218
210,Sense8 - Season 2,2016,Netflix,Jamie Clayton,236
211,Serendipity,2001,Miramax Home Entertainment,John Cusack,173
212,Serial,1980,Paramount Pictures,Martin Mull,22
213,Seven Girlfriends,1999,Lions Gate Films Home Entertainment,Laura Leighton,168
214,Shadow of the Thin Man,1941,Metro-Goldwyn Mayer,William Powell,235
215,Shattered,1991,Metro-Goldwyn-Mayer,Tom Berenger,243
216,Shoot the Moon,1982,Metro-Goldwyn-Mayer (MGM),Albert Finney,4
217,Sister Act,1992,Buena Vista Pictures,Whoopi Goldberg,56
218,Sister Act 2: Back in the Habit,1993,Buena Vista Pictures,Whoopi Goldberg,20
219,"Smile Again, Jenny Lee",2015,,Craig Tsuyumine,31
220,Sneakers,1992,Universal Pictures,Sydney Poitier,180
221,So I Married an Axe Murderer,1993,TriStar Pictures,Mike Myers,222
222,Sphere,1998,Warner brothers Pictures,Dustin Hoffman,18
223,Star Trek II : The Wrath of Khan,1982,Paramount Pictures,William Shatner,157
224,Star Trek IV: The Voyage Home,1986,Paramount Pictures,William Shatner,128
225,Star Trek VI: The Undiscovered Country,1991,Paramount Pictures,William Shatner,157
226,Steve Jobs,2015,Universal Pictures,Michael Fassbender,40
227,Stigmata,1999,Metro-Goldwyn Mayer Distributing,Patricia Arquette,201
228,Street Music,1981,Specialty Films,Elizabeth Daily,98
229,Sudden Fear,1952,RKO Pictures,Joan Crawford,43
230,Sudden Impact,1983,Warner Bros. Pictures,Clint Eastwood,37
231,Summertime,2015,,,64
232,Superman,1978,Warner Bros. Pictures,Christopher Reeve,186
233,Susan Slade,1961,Warner Bros. Pictures,Troy Donahue,48
234,Sweet November,2001,Warner Bros. Pictures,Keanu Reeves,165
235,Swing,2003,Crazy Dreams Entertainment,Constance Brenneman,140
236,Swingin' Along,1961,Twentieth Century Fox Film Corporation,Tommy Noonan,33
237,Take the Money and Run,1969,Cinerama Releasing Corporation,Woody Allen,244
238,Terminator - Genisys,2015,Paramount Pictures,Arnold Schwarzenegger,5
239,The Assassination of Richard Nixon,2004,THINKFilm,Sean Penn,159
240,The Bachelor,1999,New Line Cinema,Chris O'Donnell,67
241,The Birds,1963,Universal Pictures,Tippi Hedren,9
242,The Bridge,2006,IFC Films,John Snowden,58
243,The Caine Mutiny,1954,Columbia Pictures,Humphrey Bogart,55
244,The Californians,2005,Fabrication Films,Noah Wyle,118
245,The Candidate,1972,Warner Bros. Pictures,Robert Redford,151
246,The Competition,1980,American Broadcasting Company (ABC),Richard Dreyfuss,100
247,The Conversation,1974,Paramount Pictures,Gene Hackman,63
248,The Core,2003,Paramount Pictures,Aaron Eckhart,102
249,The Dead Pool,1988,Warner Bros. Pictures,Clint Eastwood,29
250,The Diary of a Teenage Girl,2015,Sony Pictures Classics,Alexander Skarsgard,135
251,The Doctor,1991,Buena Vista Pictures,William Hurt,184
252,The Doors,1991,TriStar Pictures,Val Kilmer,163
253,The Enforcer,1976,Warner Bros. Pictures,Clint Eastwood,94
254,The Fan,1996,Columbia TriStar,Robert De Niro,228
255,The Fog of War,2003,Sony Pictures Classics,Robert McNamara,60
256,The Game,1997,Polygram Filmed Entertainment,Michael Douglas,41
257,The Graduate,1967,Embassy Pictures Corporation,Anne Bancroft,153
258,The House on Telegraph Hill,1951,Twentieth Century Fox Film Corp.,Richard Basehart,194
259,The Internship,2013,Twentieth Century Fox Film Corporation,Vince Vaughn,208
260,The Jazz Singer,1927,Warner Bros. Pictures,Al Jolson,2
261,The Lady from Shanghai,1947,Columbia Pictures,Rita Hayworth,164
262,The Last of the Gladiators,1988,Evel Videos,Evel Knievel,141
263,The Laughing Policeman,1973,American Broadcasting Company (ABC),Walter Matthau,214
264,The Lineup,1958,Columbia Pictures,Eli Wallach,51
265,The Love Bug,1968,Buena Vista Distribution,Dean Jones,193
266,The Maltese Falcon,1941,Warner Bros. Pictures,Humphrey Bogart,110
267,The Master,2012,Weinstein Company,Philip Seymour Hoffman,170
268,The Matrix,1999,Warner Bros. Pictures,Keanu Reeves,217
269,The Net,1995,Columbia Pictures,Sandra Bullock,89
270,The Nightmare Before Christmas,1993,Buena Vista Pictures,Danny Elfman,83
271,The Organization,1971,United Artists,Sidney Poitier,50
272,The Other Sister,1999,Buena Vista Pictures,Juliette Lewis,66
273,The Parent Trap,1998,Buena Vista Pictures,Lindsay Lohan,154
274,The Presidio,1988,Paramount Pictures,Sean Connery,175
275,The Princess Diaries,2001,Buena Vista Pictures,Julie Andrews,66
276,The Pursuit of Happyness,2006,Columbia Pictures,Will Smith,212
277,The Right Stuff,1983,The Ladd Company,Sam Shepard,182
278,The Rock,1996,Buena Vista Pictures,Sean Connery,147
279,The Sweetest Thing,2002,Columbia Pictures,Cameron Diaz,196
280,The Ten Commandments,1956,Paramount Pictures,Charlton Heston,32
281,The Times of Harvey Milk,1984,TC Films International,Harvey Milk,190
282,The Towering Inferno,1974,Twentieth Century - Fox,Steve McQueen,109
283,The Wedding Planner,2001,Sony Pictures Entertainment,Jennifer Lopez,1
284,The Woman In Red,1984,MGM Home Entertainment,Gene Wilder,68
285,The Zodiac,2005,THINKFilm,Justin Chambers,7
286,They Call Me MISTER Tibbs,1970,United Artists,Sidney Poitier,74
287,Thief of Hearts,1984,Paramount Pictures,Steven Bauer,54
288,Time After Time,1979,Columbia Broadcasting System (CBS),Malcolm McDowell,157
289,Tin Cup,1996,Warner Bros. Pictures,Kevin Costner,199
290,To the Ends of the Earth,1948,Columbia Pictures,Dick Powell,193
291,True Believer,1989,Columbia Pictures,James Woods,120
292,Tucker: The Man and His Dream,1988,Paramount Pictures,Jeff Bridges,63
293,Tweek City,2005,Maverick Entertainment Group,Giuseppe Andrews,57
294,Twisted,2004,Paramount Pictures,Ashley Judd,182
295,Under the Tuscan Sun,2003,Buena Vista Pictures,Diane Lane,16
296,Until the End of the World,1991,Warner Bros. Pictures,Solveig Dommartin,242
297,Vegas in Space,1992,MCA/Universal Home Video,,183
298,Vertigo,1958,Paramount Pictures,James Stewart,9
299,What Dreams May Come,1998,Polygram Filmed Entertainment,Robin Williams,234
300,What the Bleep Do We Know,2004,Samuel Goldwyn Films,Marlee Matlin,240
301,What's Up Doc?,1972,Warner Bros. Pictures,Barbra Streisand,172
303,When a Man Loves a Woman,1994,Buena Vista Pictures,Andy Garcia,133
302,When We Rise,2017,Amercian Broadcasting Company,Guy Pierce,76
305,Woman on the Run,1950,Universal Pictures,Ann Sheridan,161
304,Woman on Top,2000,Fox Searchlight Pictures,Penelope Cruz,61
306,"Yours, Mine and Ours",1968,United Artists,Lucille Ball,145
307,Zodiac,2007,Paramount Pictures,Jake Gyllenhaal,41
