Title,Release Year,Locations,Fun Facts,Production Company,Distributor,Director,Writer,Actor 1,Actor 2,Actor 3,
40 Days and 40 Nights,2002,Caf̩ Trieste (609 Vallejo),"Francis Ford Coppola allegedly wrote large portions of ""The Godfather"" trilogy in Caf̩ Trieste.",Miramax Films,Miramax Films,Michael Lehmann,Robert Perez,Josh Hartnett,Shaynnyn Sossamon,,
48 Hours,1982,,,Paramount Pictures,Paramount Pictures,Walter Hill,Walter Hill,Nick Nolte,Eddie Murphy,Annette O'Toole,
50 First Dates,2004,Rainforest Caf̩ (145 Jefferson Street),,Columbia Pictures Corporation,Columbia Pictures,Peter Segal,George Wing,Adam Sandler,Drew Barrymore,,
A Jitney Elopement,1915,20th and Folsom Streets,,The Essanay Film Manufacturing Company,General Film Company,Charles Chaplin,Charles Chaplin,Charles Chaplin,Edna Purviance,,
A Jitney Elopement,1915,Golden Gate Park,"During San Francisco's Gold Rush era, the Park was part of an area designated as the ""Great Sand Waste"". ",The Essanay Film Manufacturing Company,General Film Company,Charles Chaplin,Charles Chaplin,Charles Chaplin,Edna Purviance,,
A Night Full of Rain,1978,Embarcadero Freeway,"Embarcadero Freeway, which was featured in the film was demolished in 1989 because of structural damage from the 1989 Loma Prieta Earthquake)",Liberty Film,Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller,Candice Bergen,Giancarlo Gianni,,
A Night Full of Rain,1978,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.",Liberty Film,Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller,Candice Bergen,Giancarlo Gianni,,
A Night Full of Rain,1978,San Francisco Chronicle (901 Mission Street at 15th Street),The San Francisco Zodiac Killer of the late 1960s sent his notes and letters to the Chronicle's offices.,Liberty Film,Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller,Candice Bergen,Giancarlo Gianni,,
A Night Full of Rain,1978,Broadway (North Beach),,Liberty Film,Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller,Candice Bergen,Giancarlo Gianni,,
A Smile Like Yours,1997,75 California Street,,Paramount Pictures,Paramount Pictures,Keith Samples,Keith Samples & Kevin Meyer,Greg Kinnear,Lauren Holly,,
A Smile Like Yours ,1997,Grace Cathedral Episcopal Church (1100 California Street),Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.,Paramount Pictures,Paramount Pictures,Keith Samples,Keith Samples & Kevin Meyer,Greg Kinnear,Lauren Holly,,
A Smile Like Yours ,1997,Hills Brothers Plaza (Embarcadero at Harrison Street),,Paramount Pictures,Paramount Pictures,Keith Samples,Keith Samples & Kevin Meyer,Greg Kinnear,Lauren Holly,,
A Smile Like Yours ,1997,San Francisco International Airport,SFO has a museum dedicated to aviation history. ,Paramount Pictures,Paramount Pictures,Keith Samples,Keith Samples & Kevin Meyer,Greg Kinnear,Lauren Holly,,
A View to a Kill,1985,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,
A View to a Kill,1985,Port of San Francisco ,,Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,
Ant-Man,2015,420 Jones St. at Ellis St.,,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,,
A View to a Kill,1985,"Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)","This is SF's only drawbridge, and was named after Francis Joseph ""Lefty"" O'Doul, a local baseball hero.",Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,
A View to a Kill,1985,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,
A View to a Kill,1985,Embarcadero Freeway,"Embarcadero Freeway, which was featured in the film, was demolished in 1989 because of structural damage from the 1989 Loma Prieta Earthquake)",Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,
A View to a Kill,1985,Potrero Hill,The most crooked street in San Francisco is actually Potrero Hill's Vermont Street between 20th St & 22nd St.,Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,
A View to a Kill,1985,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,
A View to a Kill,1985,Chinatown,"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,
A View to a Kill,1985,"Burger Island (901 3rd Street, China Basin)",,Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,
A View to a Kill,1985,Van Ness Avenue,,Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,
A View to a Kill,1985,Taylor and Jefferson Streets (Fisherman's Wharf),,Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,
About a Boy,2014,Broderick from Fulton to McAlister,,NBC Studios,National Broadcasting Company,Mark J. Kunerth,Jason Katims,David Walton,Minnie Driver,,
About a Boy,2014,Crissy Field,,NBC Studios,National Broadcasting Company,Mark J. Kunerth,Jason Katims,David Walton,Minnie Driver,,
About a Boy,2014,Powell from Bush and Sutter,,NBC Studios,National Broadcasting Company,Mark J. Kunerth,Jason Katims,David Walton,Minnie Driver,,
After the Thin Man,1936,Coit Tower,"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Metro-Goldwyn Mayer,Metro-Goldwyn Mayer,W.S. Van Dyke,Frances Goodrich,William Powell,Myrna Loy,James Stewart,
Age of Adaline,2015,Pier 50- end of the pier,,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,Harrison Ford,Ellen Burstyn,
Age of Adaline,2015,California @ Montgomery,,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,Harrison Ford,Ellen Burstyn,
Age of Adaline,2015,Montgomery/Green,,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,Harrison Ford,Ellen Burstyn,
Age of Adaline,2015,Driving various SF Streets,,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,Harrison Ford,Ellen Burstyn,
Age of Adaline,2015,Plate Shots SF streets various,,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,Harrison Ford,Ellen Burstyn,
Alcatraz,2012,Filbert St. from Jones to Mason,,Bonanza Productions Inc.,Warner Bros. Television,J.J. Abrams,Steven Lilien,Sarah Jones,Jorge Garcia,,
Alcatraz,2012,Leavenworth from Filbert & Francisco St,,Bonanza Productions Inc.,Warner Bros. Television,J.J. Abrams,Steven Lilien,Sarah Jones,Jorge Garcia,,
Alcatraz,2012,Chestnut St. from Larkin to Columbus,,Bonanza Productions Inc.,Warner Bros. Television,J.J. Abrams,Steven Lilien,Sarah Jones,Jorge Garcia,,
Alcatraz,2012,Francisco St from Larkin to Polk,,Bonanza Productions Inc.,Warner Bros. Television,J.J. Abrams,Steven Lilien,Sarah Jones,Jorge Garcia,,
Alcatraz,2012,Broadway from Mason to Taylor,,Bonanza Productions Inc.,Warner Bros. Television,J.J. Abrams,Steven Lilien,Sarah Jones,Jorge Garcia,,
Alcatraz,2012,Taylor St. from Broadway to Filbert,,Bonanza Productions Inc.,Warner Bros. Television,J.J. Abrams,Steven Lilien,Sarah Jones,Jorge Garcia,,
Ant-Man,2015,Broadway between Powell and Davis,Driving shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,,
Alexander's Ragtime Band,1938,Cliff House (1090 Point Lobos Avenue),"In 1887, the Cliff House was severely damaged when the schooner Parallel, abandoned and loaded with dynamite, ran aground on the rocks below.",Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Henry King,Kathryn Scola,Tyrone Power,Alice Faye,Don Ameche,
Alexander's Ragtime Band,1938,San Francisco Bay,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Henry King,Kathryn Scola,Tyrone Power,Alice Faye,Don Ameche,
Alexander's Ragtime Band,1938,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.",Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Henry King,Kathryn Scola,Tyrone Power,Alice Faye,Don Ameche,
All About Eve,1950,Curran Theater (445 Geary Street),Called the Shubert Theatre in the film. ,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Joseph L. Mankiewicz,Joseph L. Mankiewicz,Bette Davis,Anne Baxter,George Sanders,
American Graffiti,1973,"Mel's Drive-In (Corner of Van Ness & Mission Street, Mission District)",This restaurant location was demolished, however another Mel's was reopened in 1986 on 3355 Geary Blvd. ,Universal Pictures,George Lucas,George Lucas,Richard Dreyfuss,Ron Howard,Paul Le Mat,
American Graffiti,1973,3355 Geary Blvd.,,Universal Pictures,Universal Pictures',George Lucas,George Lucas,Richard Dreyfuss,Ron Howard,Paul Le Mat,
American Yearbook,2004,,,All Planet Studios,N/A,Brian Ging,Brian Ging,Nick Tagas,Jon Carlo Alvarez,,
Americana,2015,St. Francis Episcopal Church (399 San Fernando Way),,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,
Americana,2015,Romolo Place @ Fresno St.,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,
Americana,2015,Palace of Fine Arts,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,
Americana,2015,John Shelley Drive John McLaren Park,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,
Americana,2015,Treasure Island,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,
Americana,2015,The San Francisco School (300 Gavin St.),,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,
Americana,2015,33 Spruce St,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,
Americana,2015,Coi Restaurant (373 Broadway),,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,
Americana,2015,Foreign Cinema (2534 Mission),,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,
Americana,2015,Bernal Heights Park,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,
Americana,2015,Jackson St. at Spruce,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,
Americana,2015,679 Madrid St,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,
Americana,2015,Roxie Theater (3117 16th St.),,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,
Americana,2015,Variety Preview Room (582 Market St.),,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,
Americana,2015,Laguna Honda Hospital, 375 Laguna Honda Blvd.,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote
Americana,2015,3232 Jackson Ave.,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,
Americana,2015,20th St and Illinois/Faxon St. and Kenwood/Glenbrook at Mt. Springs,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,
Another 48 Hours,1990,,,Eddie Murphy Productions,Paramount Pictures,Walter Hill,Walter Hill,Eddie Murphy,Nick Nolte,,
Ant Man,2015,Conzelman Rd at McCollough Rd and down Conzelman Rd.,Aerial shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,,
Ant Man,2015,Lombard at Hyde,,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,,
Ant Man,2015,601 Buena Vista Ave West at Java St.,,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,,
Ant Man,2015,Columbus between Bay and Washington,Driving shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,,
Ant Man,2015,California between Kearney and Davis,Driving shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,,
Ant Man,2015,Pine between Kearney and Davis,Driving shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,,
Ant Man,2015,Market between Stuart and Van Ness,Driving shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,,
Ant Man,2015,Grant between Bush and Broadway,Driving shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,,
Ant Man,2015,Intersection of Broadway at Kearney,Driving shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,,
Ant Man,2015,Intersection of California at Polk,Driving shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,,
Ant Man,2015,"Treasure Island, Building #1, Ave of the Palms",Aerial and exterior shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,,
Around the Fire,1998,Ocean Beach,"On Jan. 25, 1878, the King Philip ship crashed in Ocean Beach. Occasionally, the ship's wreckage may be found on the beach-- most recently it was seen in 2007. ",Paradigm Studio,Ardustry Home Entertainment,John Jacobsen,John Comerford,Tara Reid,,,
Attack of the Killer Tomatoes,1978,Hyde Street Cable Car,SF Cable Cars are the only moving National Historical Landmark.,Four Square Productions,NAI Entertainment,John DeBello,John DeBello,David Miller,,,
Babies,2010,,,Canal+,Focus Features,Thomas Balmes,Thomas Balmes,Bayar,Hattie,,
Barbary Coast,1935,,,The Samuel Goldwyn Company,United Artists,Howard Hawks,Ben Hecht,Mariam Hopkins,Edward G. Robinson,Joel McCrea,
Basic Instinct,1992,Yerba Buena Center for the Arts,,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,
Basic Instinct,1992,Transbay Terminal (Mission Street at 1st Street),"Built in 1939, the Terminal linked San Francisco, the East Bay, and Sacramento by rail for the first time.",Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,
Basic Instinct,1992,Tosca Caf̩ (242 Columbus Avenue),,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,
Basic Instinct,1992,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)","The Steinhart Aquarium is home to over 38,000 animals, which represent more than 900 species. ",Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,
Basic Instinct,1992,Raw Hide II (280 Seventh Street),,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,
Basic Instinct,1992,Pier 7 (The Embarcadero),,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,
Basic Instinct,1992,Kearney Street (Telegraph Hill),,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,
Basic Instinct,1992,Hall of Justice (850 Bryant Street),,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,
Basic Instinct,1992,2930 Vallejo Street,,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,
Basic Instinct,1992,Chinatown,"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,
I Am Michael,2015,F Train,,That�۪s Hollywood,,Justin Kelly,Justin Kelly,James Franco,Emma Roberts,Zachary Quinto,
Basic Instinct,1992,Gibb Street (Chinatown),,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,
Basic Instinct,1992,1158-70 Montgomery Street,,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,
Basic Instinct,1992,2104 Broadway,,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,
Beaches,1988,,,Silver Screen Partners IV,Columbia Broadcasting System,Garry Marshall,Mary Agnes Donoghue,Bette Midler,Barbara Hershey,John Heard,
Bedazzled,2000,1155 Filbert Street at Hyde,,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Harold Ramis,Harold Ramis,Brendan Fraser,Elizabeth Hurley,,
Bedazzled,2000,"Washington Square Park (Filbert, between Stockton and Powell)",,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Harold Ramis,Harold Ramis,Brendan Fraser,Elizabeth Hurley,,
Bedazzled,2000,Vaillancourt Fountain (Justin Herman Plaza),"Installed in 1975, the Vaillancourt Fountain is officially titled, ""Qu̩bec Libre!"". The night before the sculpture's inauguration, artist Armand Vaillancourt inscribed ""Qu̩bec libre!"" in red letters on the sculpture. The next day when he noticed that the note had been erased, Vaillancourt jumped on the statue to re-inscribe his message. ",Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Harold Ramis,Harold Ramis,Brendan Fraser,Elizabeth Hurley,,
Bedazzled,2000,Montgomery & Market Streets,,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Harold Ramis,Harold Ramis,Brendan Fraser,Elizabeth Hurley,,
Bedazzled,2000,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Harold Ramis,Harold Ramis,Brendan Fraser,Elizabeth Hurley,,
Bee Season,2005,,,Bee Season Productions,Fox Searchlight Pictures,Scott McGehee,David Siegel,Richard Gere,Juliette Binoche,,
Bicentennial Man,1999,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",1492 Pictures,Buena Vista Pictures,Chris Columbus,Nicholas Kazan,Robin Williams,,,
Bicentennial Man,1999,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",1492 Pictures,Buena Vista Pictures,Chris Columbus,Nicholas Kazan,Robin Williams,,,
Bicentennial Man,1999,Treasure Island,"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",1492 Pictures,Buena Vista Pictures,Chris Columbus,Nicholas Kazan,Robin Williams,,,
Bicentennial Man,1999,"Postcard Row, Alamo Square, Hayes Valley",The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,1492 Pictures,Buena Vista Pictures,Chris Columbus,Nicholas Kazan,Robin Williams,,,
Bicentennial Man,1999,Grace Cathedral Episcopal Church (1100 California Street),Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.,1492 Pictures,Buena Vista Pictures,Chris Columbus,Nicholas Kazan,Robin Williams,,,
Big Eyes,2014,Nobles Alley,,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,
Big Eyes,2014,Caffe Trieste,,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,
Big Eyes,2014,Palace of Fine Arts,,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,
Big Eyes,2014,1101 Filbert St. ,,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,
Big Eyes,2014,Saints Peter & Paul Church,,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,
Big Eyes,2014,Green St. & Grant Ave.,,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,
Big Eyes,2014,Filbert St. & Leavenworth,,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,
Big Eyes,2014,Pine St. & Grant,,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,
Big Eyes,2014,Way Faire Inn on Leidesdorff,,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,
Big Eyes,2014,Harry's Bar on Fillmore,,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,
Big Sur,2013,"Tosca Caf̩ (242 Columbus Avenue, North Beach)",,3311 Productions,,Michael Polish,Jack Kerouac & Michael Polish,Josh Lucas,Kate Bosworth,Stana Katic,
Big Trouble in Little China,1986,,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,John Carpenter,Gary Goldman,Kurt Russell,Kim Catrall,James Hong,
Birdman of Alcatraz,1962,Alcatraz Island,Alcatraz Island was a military fort before it became a prison.,Norma Productions,United Artists,John Frankenheimer,Guy Trosper,Burt Lancaster,Karl Maden,Thelma Ritter,
Birdman of Alcatraz,1962,Pier 43 1/2,,Norma Productions,United Artists,John Frankenheimer,Guy Trosper,Burt Lancaster,Karl Maden,Thelma Ritter,
Birth of the Dragon,2016,Lands End Trail at Eagles Point/ Lincoln Park Golf Course,The character of Steve McKee was based on actor Steve McQueen who studied with Bruce Lee in the later 60's.,"BOTD U.S. Productions, Inc.",Kylin Pictures,George Nolfi ,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia,
Birth of the Dragon,2016,Pier 45 - Jeremiah O'Brien Liberty Ship,The SS Jeremiah O'Brien is a rare survivor of the invasion at Normandy on D-Day in WWII.,"BOTD U.S. Productions, Inc.",Kylin Pictures,George Nolfi ,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia,
Birth of the Dragon,2016,Leavenworth at Green,,"BOTD U.S. Productions, Inc.",Kylin Pictures,George Nolfi ,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia,
Birth of the Dragon,2016,Leavenworth at Union,,"BOTD U.S. Productions, Inc.",Kylin Pictures,George Nolfi ,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia,
Birth of the Dragon,2016,Hyde at Union,,"BOTD U.S. Productions, Inc.",Kylin Pictures,George Nolfi ,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia,
Birth of the Dragon,2016,California at Grant,,"BOTD U.S. Productions, Inc.",Kylin Pictures,George Nolfi ,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia,
